seed	initial_sol	operators	initial_packRests	initial_cost	final_cost	final_packRests	ex_time
1234	2	2	0	1021.8549999999999	869.9200000000001	0	1856
1111	2	2	0	1258.4250000000004	1063.4500000000007	0	1283
2222	2	2	0	1113.675	970.685	0	2635
333	2	2	0	1303.9250000000004	1118.0700000000036	0	1673
444	2	2	0	1223.6149999999998	1069.3950000000016	0	4478
555	2	2	0	1189.6700000000005	916.065	0	5951
666	2	2	0	1148.8200000000006	988.7899999999984	0	5027
777	2	2	0	1264.22	1113.3000000000006	0	4755
888	2	2	0	1188.9899999999996	1009.3100000000001	0	7090
999	2	2	0	1226.7200000000003	995.8950000000016	0	5753
