seed	initial_sol	operators	initial_packRests	initial_cost	final_cost	final_packRests	ex_time
1234	2	3	0	1021.8549999999999	608.4300000000007	0	5116
1111	2	3	0	1258.4250000000004	741.5600000000014	0	17491
2222	2	3	0	1113.675	655.6699999999988	0	18085
333	2	3	0	1303.9250000000004	747.4250000000012	0	20938
444	2	3	0	1223.6149999999998	747.89	0	18848
555	2	3	0	1189.6700000000005	732.4899999999999	0	17342
666	2	3	0	1148.8200000000006	689.3000000000006	0	21293
777	2	3	0	1264.22	776.9549999999986	0	19829
888	2	3	0	1188.9899999999996	728.4400000000005	0	16850
999	2	3	0	1226.7200000000003	744.4450000000015	0	17330
